evse_sequential_id,evse_charge_month,evse_id,evse_mean_sessions,evse_mean_duration,evse_mean_energy_wh,evse_sum_duration,evse_sum_energy_wh,location_latitude,location_longitude,location_postal_code,location_city,,Pincode,Latitude of nearest fast charger,Longitude of the nearest fast charger,Distance from the nearet fast charger(in Km)
24,01.08.21,DE*EDR*E92100039*1,54.2527514,2.546789984,7435.687841,2049.280033,1338514.966,49.308275,10.968714,91126,91126 Kammerstein,,911,49.323136,11.042675,5.610095326
25,01.04.21,DE*EDR*E62100025*1,45.00327912,-3.200901556,3333.748118,1003.97244,692956.0199,49.946431,8.608135,64331,64331 Weiterstadt,,643,49.8120551,8.5791129,15.08593552
26,01.06.18,DE*EDR*E02100057*1,19.94886453,-7.034691138,-680.9343248,395.2190657,178184.0199,51.200127,14.329909,2625,02625 Bautzen,,262,53.041733,8.22121386,464.4154945
29,01.05.21,DE*EDR*E02100017*1,-0.834235332,1.68633139,2908.23766,14.75093499,-20892.30486,51.063068,13.570808,1723,01723 Wilsdruff,,172,53.21039,14.004432,240.5970861
30,01.05.22,DE*UFC*E210013*1,-47.96026291,-10.59696002,-4922.42834,-1531.55512,-1174338.067,50.929288,6.775,50226,Frechen,,502,50.912347,6.819812,3.662712818
31,01.06.21,DE*UFC*E210011*1,-18.25842305,5.200815769,-1690.208502,-590.6041337,-574447.4839,51.56778,13.927832,1994,Schipkau,,199,51.535798,13.914721,3.66995778
32,01.12.21,DE*EDR*E12100010*1,45.94175305,-10.46261577,3644.521313,1032.642987,799495.6791,52.250741,12.309279,14793,14793 Ziesar,,147,52.430611,12.550501,25.85692955
35,01.03.22,DE*EDR*E11000306*2,-5.273365937,-7.132209419,3715.511423,-295.2045822,-89946.82532,52.128412,10.05008,31174,Schellerten,,311,52.16083,9.99676,5.121711814
36,01.08.21,DE*EDR*E21000134*1,80.59691433,7.941290966,8629.757672,3071.236897,2074444.289,49.748466,11.509936,91257,Pegnitz,,912,49.66416,11.47072,9.789380639
38,01.02.22,DE*UFC*E320104*1,5.183301809,9.365702606,6378.441965,424.4869303,236796.2389,53.424056,9.963125,21077,Hamburg,,210,53.483558,10.211489,17.72606679
39,01.01.21,DE*EDR*E22100029*1,7.886667492,1.991137225,4677.116259,194.5486278,172663.0505,53.521783,10.802986,23899,23899 Gudow,,238,50.865765,10.252332,297.7086488
43,01.09.21,DE*EDR*E62100007*1,22.63671077,0.620894764,7682.935117,741.117463,658526.7999,49.690307,8.603811,64625,64625 Bensheim,,646,49.6861354,8.6187296,1.16915747
45,01.03.22,DE*EDR*E21000156*1,30.4435834,5.923165178,6048.546241,915.5476982,520954.3309,49.350108,8.630616,69207,Sandhausen,,692,49.3508,8.632241,0.140627282
46,01.07.19,DE*EDR*E11000146*2,-13.96370809,-15.2491453,5645.284441,-459.9901324,-262174.6456,51.38224573,9.24671866,34289,Zierenberg,,342,51.2288935,9.4296715,21.27247406
47,01.12.21,DE*EDR*E12100075*1,-26.05824695,24.6440509,17528.38798,-870.3570132,-425774.3209,53.510538,10.852775,19246,19246 Valluhn,,192,53.3003,11.0516,26.83673007
49,01.03.18,DE*EDR*E92100078*1,-20.97093415,-10.66437525,-9867.107867,-769.6236364,-474479.1364,50.726515,10.842037,99331,98716 Geraberg,,993,50.50578,10.57215,31.0648364
52,01.09.21,DE*EDR*E11000317*2,30.76183666,-13.34182428,5542.604517,867.4327046,630530.4087,53.298955,9.535043,27419,Tiste,,274,53.850924,8.715758,81.80999674
53,01.03.21,DE*EDR*E02100018*1,-0.932045706,-9.847729821,905.0392928,-222.7977323,-91664.84741,51.060482,13.572325,1723,01723 Wilsdruff,,172,53.21039,14.004432,240.8698694
54,01.01.22,DE*EDR*E21000162*1,0.745645278,-5.296029908,3987.298372,-1.140269867,12702.54376,50.548416,7.585134,56307,Dernbach,,563,50.266142,7.51002,31.83561921
57,01.11.21,DE*EDR*E21000155*1,19.73091748,-15.87396403,2097.443924,394.0513936,231707.7145,50.809423,7.220042,53721,Siegburg,,537,50.798281,7.20399,1.675523447
61,01.01.22,DE*UFC*E110119*1,20.65840888,-17.1732582,5362.449457,604.7690393,775033.0274,51.424935,6.992892,45131,Essen,,451,51.452388,7.013563,3.372156314
62,01.10.19,DE*EDR*E31100047*1,-4.457525984,-13.873298,-849.2862764,-312.3532208,-253172.7309,50.52085,8.7554999,35415,35415 Pohlheim,,354,50.491861,8.655611,7.764754171
64,01.12.21,DE*EDR*E21000201*1,73.47629953,0.052752947,4543.512046,2042.440279,1434071.829,53.090906,9.17629,27367,Sottrum,,273,53.19436149,9.289197922,13.74942443
67,01.07.19,DE*EDR*E02100073*1,-16.57950623,-8.43352806,962.0732752,-497.7879823,-309288.1909,51.432622,11.423106,6542,06542 Wolferstedt,,654,49.99718,8.4241166,264.6528836
68,01.02.21,DE*EDR*E11000308*2,-11.92187662,-11.83455627,3911.489157,-440.5002976,-263463.8363,50.423684,10.349945,97638,Mellrichstadt,,976,50.1800788,10.0783839,33.25281762
70,01.05.18,DE*EDR*E62100006*1,63.37786386,-5.205195066,-846.0353542,1277.898703,599160.4745,50.300134,8.234582,65520,65520 Bad Camberg,,655,50.300794,8.234861,0.076017035
71,01.12.20,DE*EDR*E62100050*1,52.26604867,-3.943293312,2154.251941,1288.120723,748496.28,50.094757,8.352353,65207,65207 Wiesbaden,,652,50.048154,8.217435,10.93474753
72,01.10.20,DE*EDR*E21000210*1,-34.52497274,-10.28155354,-1256.145894,-1610.413646,-489643.712,51.12548,6.7975,41541,Dormagen,,415,51.061111,6.820522,7.335859339
73,01.12.20,DE*UFC*E110004*1,-16.80225139,0.69046093,3469.469658,-481.700122,-486298.0511,49.76904,10.470847,96160,Geiselwind,,961,49.819859,11.000909,38.46502254
78,01.12.20,DE*EDR*E02100018*1,-7.946050519,-9.402649307,1391.94398,-358.0270445,-191066.4994,51.060482,13.572325,1723,01723 Wilsdruff,,172,53.21039,14.004432,240.8698694
79,01.05.21,DE*EDR*E21000183*1,-28.89707043,-5.570625358,10902.01633,-874.4275036,-328162.8062,51.866448,8.369656,59069,Hamm,,590,51.66959,7.81033,44.27775121
81,01.10.21,DE*EDR*E62100007*1,32.13877507,-1.744241597,6541.676392,1053.996697,763445.5033,49.690307,8.603811,64625,64625 Bensheim,,646,49.6861354,8.6187296,1.16915747
84,01.05.21,DE*UFC*E32000114*1,59.93672947,-10.31796251,1224.760696,1574.119377,1507413.968,52.232271,7.88075,49545,Tecklenburger Land,,495,52.55593418,7.94300521,36.23676252
85,01.04.21,DE*UFC*E110024*1,-12.87342215,-1.341803096,3939.030553,-365.2828814,-339909.3831,47.909208,7.592273,79258,Hartheim-Bremgarten,,792,47.970762,7.721949,11.83872145
87,01.03.21,DE*UFC*E210027*1,-43.25152972,-5.819164167,-3807.540652,-1606.9509,-1080834.173,52.207556,13.607545,15749,Mittenwalde,,157,52.31249,13.650771,12.03330225
88,01.11.20,DE*EDR*E21000170*1,-17.22700661,-16.47796076,-3084.694901,-675.8270436,-205847.9677,50.856697,12.313322,4626,SchmÃ¶lln,,462,51.656773,6.9472599,383.77439
89,01.10.21,DE*EDR*E02100005*1,27.92667588,-7.238689166,3912.020373,691.8489293,471652.7239,50.893563,12.9408,9244,09244 Lichtenau,,924,49.3225632,12.121547,184.1951043
90,01.08.21,DE*EDR*E21000137*1,50.83789269,-6.177632696,5083.677654,1009.75911,957362.5216,47.926902,11.402966,82335,Berg,,823,47.76578557,11.35917449,18.21094518
91,01.08.19,DE*EDR*E12100075*1,-35.82055659,6.292502765,7845.117164,-1275.224031,-594368.5662,53.510538,10.852775,19246,19246 Valluhn,,192,53.3003,11.0516,26.83673007
92,01.03.19,DE*EDR*E22100030*1,-13.67139753,12.03470149,10609.95143,-370.7804032,-171203.089,53.520118,10.805807,23899,23899 Gudow,,238,50.865765,10.252332,297.5493706
93,01.03.22,DE*EDR*E21000145*1,65.49030435,1.853714661,5391.382284,1805.669591,1333471.481,52.91502,8.425643,27801,DÃ¶tlingen,,278,53.0557945,8.5012833,16.45198669
95,01.02.19,DE*EDR*E22100054*1,-11.6989169,-13.92602947,-6005.590522,-346.1027449,-195849.4186,54.070886,10.755442,23730,23730 Sierksdorf,,237,54.09928,10.82748,5.660916436
96,01.02.22,DE*EDR*E21000154*1,62.67595301,4.475178319,6245.447846,1989.669799,1270587.065,50.267563,9.882552,97795,Schondra,,977,49.85294,9.61032,50.03219827
100,01.01.22,DE*EDR*E21000128*1,34.33082604,2.849822327,601.7079004,400.84887,600944.9586,51.864909,8.369809,33334,GÃ¼tersloh,,333,51.883901,8.354353,2.363388699
101,01.04.18,DE*EDR*E12100067*1,13.18986012,-12.90438694,-270.9284136,-2.087181606,46311.55075,53.115301,12.466908,16909,16909 Heiligengrabe,,169,53.067119,12.532982,6.940584227
102,01.05.22,DE*EDR*E21000145*1,55.58811472,7.185606734,8628.245623,1911.218258,1412916.023,52.91502,8.425643,27801,DÃ¶tlingen,,278,53.0557945,8.5012833,16.45198669
104,01.10.21,DE*UFC*E110119*1,-25.04093456,-26.7929636,3435.051905,-1186.91333,-569517.5409,51.424935,6.992892,45131,Essen,,451,51.452388,7.013563,3.372156314
109,01.06.20,DE*UFC*E110002*1,-10.90733635,-0.219358679,-303.9058693,-347.4540118,-472998.5318,49.769144,10.47069,96160,Geiselwind,,961,49.819859,11.000909,38.47443258
112,01.01.22,DE*EDR*E21000145*1,55.04836937,6.30691489,9025.559721,1868.998622,1428379.62,52.91502,8.425643,27801,DÃ¶tlingen,,278,53.0557945,8.5012833,16.45198669
113,01.02.22,DE*UFC*E110002*1,51.18423405,8.421013097,12268.92201,2243.206849,2341949.271,49.769144,10.47069,96160,Geiselwind,,961,49.819859,11.000909,38.47443258
119,01.03.22,DE*UFC*E110005*1,64.55617195,-79.39639098,5617.139958,1460.787164,1641088.883,54.092765,9.929906,24537,NeumÃ¼nster,,245,54.180057,9.94417,9.750804228
120,01.02.21,DE*UFC*E320108*2,-51.26958679,-13.45556518,-8304.24044,-1386.143092,-1484767.078,50.897495,7.153358,51503,RÃ¶srath,,515,50.884242,7.186257,2.738005205
122,01.09.21,DE*UFC*E110013*1,-65.48900041,-2.935695006,-11522.45464,-1765.96262,-1551544.776,48.4442,10.876023,86368,Gersthofen,,863,48.406458,10.95206,7.006559099
128,01.04.22,DE*EDR*E21000142*1,32.51989384,-0.861845756,1805.78388,584.9847152,319728.2597,47.827878,12.590899,83346,Bergen (Chiemgau),,833,47.828659,12.636339,3.393265176
129,01.01.22,DE*UFC*E110011*1,18.0367989,0.485588748,-531.9930297,494.8478051,197381.9533,51.105619,11.957228,6721,Teuchern,,672,49.545854,8.352779,309.0622309
130,01.01.22,DE*UFC*E210025*1,-25.51100364,-0.005929331,3369.597497,-1012.114999,-597136.2803,52.542215,13.689707,15366,Neuenhagen bei Berlin,,153,52.503312,13.632772,5.792287874
132,01.02.22,DE*UFC*E210039*1,129.4089004,-1.350669361,-3184.204608,3187.262412,3739063.183,50.094794,8.352369,65207,Wiesbaden,,652,50.048154,8.217435,10.93769996
133,01.03.21,DE*EDR*E21000162*1,-7.812419743,2.876991302,9287.7773,10.53069915,33347.40428,50.548416,7.585134,56307,Dernbach,,563,50.266142,7.51002,31.83561921
134,01.10.19,DE*EDR*E62100050*1,4.138775068,-5.744808972,1167.882633,19.99669735,-14443.49674,50.094757,8.352353,65207,65207 Wiesbaden,,652,50.048154,8.217435,10.93474753
135,01.09.18,DE*EDR*E02100085*1,17.42461158,-2.612292301,97.57722142,475.969695,131165.0205,50.466056,12.184668,8527,08527 Plauen,,852,48.238569,11.353808,254.8871783
136,01.03.22,DE*UFC*E210036*1,182.4364198,-0.619927955,8.204647847,4837.584754,6115603.513,50.097078,8.35332,65207,Wiesbaden,,652,50.048154,8.217435,11.11932305
139,01.07.21,DE*EDR*E21000167*1,49.05601186,-6.29441695,7321.650461,1688.001891,1137481.051,49.755871,9.959829,97084,WÃ¼rzburg,,970,49.791594,9.953112,4.001395473
141,01.07.21,DE*UFC*E320125*1,89.96355162,-12.41125492,4059.043147,2077.417914,2273141.757,50.58188084,7.47883551,56593,Krunkel,,565,50.431696,7.4575,16.76781377
142,01.12.20,DE*UFC*E110001*1,-24.80225139,5.857127597,6119.068864,-591.700122,-651447.0511,49.769169,10.470803,96160,Geiselwind,,961,49.819859,11.000909,38.46599199
143,01.02.20,DE*EDR*E62100007*1,-8.747465889,1.581542348,7784.96892,-201.9723059,1511.602348,49.690307,8.603811,64625,64625 Bensheim,,646,49.6861354,8.6187296,1.16915747
145,01.10.21,DE*UFC*E210032*1,0.103939276,-2.783621231,-322.4588593,-456.7710915,-99251.08324,47.906337,11.717369,83607,Holzkirchen,,836,47.891644,11.731666,1.950708188
146,01.11.21,DE*UFC*E210009*1,95.29180751,-11.78178206,5538.560677,2064.569794,2956136.137,52.302979,13.01724,14552,Michendorf,,145,52.40277,13.27005,20.44364223
148,01.02.21,DE*EDR*E62100049*1,66.25253411,0.421542348,2678.66892,1917.027694,1005131.602,50.096868,8.353418,65207,65207 Wiesbaden,,652,50.048154,8.217435,11.11404241
151,01.02.22,DE*UFC*E210042*1,43.40890039,3.512444537,1375.590287,1677.262412,1969651.183,50.094653,8.352426,65207,Wiesbaden,,652,50.048154,8.217435,10.93387142
155,01.07.21,DE*EDR*E21000151*1,-33.27423174,-17.36033931,-581.9572002,-1022.657022,-539822.1574,48.588522,13.366734,94036,Passau,,940,48.559526,13.4225,5.218119141
156,01.01.21,DE*EDR*E21000183*1,-8.436815781,-0.767229441,10151.16154,-181.6471399,66520.79073,51.866448,8.369656,59069,Hamm,,590,51.66959,7.81033,44.27775121
158,01.02.22,DE*EDR*E11000310*2,14.37766,-17.87201799,1021.407424,238.3429357,176150.2111,53.484188,10.026537,21109,Hamburg,,211,53.50427,9.98539,3.520656599
160,01.12.21,DE*EDR*E21000172*1,8.715828485,4.67805917,6261.959823,288.0812659,176324.3686,50.75979,9.357805,36304,Alsfeld,,363,50.7382511,9.2462788,8.203819313
161,01.03.22,DE*UFC*E210042*1,84.43641977,1.613944171,-544.7002013,2627.584754,2970911.513,50.094653,8.352426,65207,Wiesbaden,,652,50.048154,8.217435,10.93387142
162,01.05.22,DE*EDR*E11000308*2,-9.796546873,-20.65841489,1326.626298,-452.6292886,-211942.9641,50.423684,10.349945,97638,Mellrichstadt,,976,50.1800788,10.0783839,33.25281762
163,01.12.21,DE*UFC*E110113*1,1.944451071,3.626427767,10540.67385,81.74538234,170133.1385,49.836925,12.172547,92670,Windischeschenbach,,926,49.66344,12.14901,19.36462772
164,01.06.21,DE*EDR*E12100075*1,-18.1633319,-18.47132427,-2371.768103,-751.1109029,-344223.8016,53.510538,10.852775,19246,19246 Valluhn,,192,53.3003,11.0516,26.83673007
167,01.06.21,DE*EDR*E22100019*1,-13.79048729,-10.63559316,-3133.411081,-372.7636053,-187184.2216,54.803352,9.328803,24983,Handewitt,,249,52.382725,9.333851,269.1616477
168,01.01.21,DE*EDR*E11000302*2,9.146974694,-28.76775163,-3450.926589,-387.8692102,-58445.70339,51.265533,7.249006,42389,Wuppertal,,423,51.265614,7.245308,0.25744944
169,01.08.21,DE*UFC*E320102*2,-69.22683286,12.72346952,2087.227015,-1741.578599,-1781670.125,48.337404,11.608041,85376,Neufahrn bei Freising,,853,48.38330103,11.75294101,11.85984504
170,01.07.21,DE*EDR*E21000141*1,2.149207684,-4.012198707,9297.495051,306.3720606,304158.8284,47.828935,12.590243,83346,Bergen (Chiemgau),,833,47.828659,12.636339,3.441226757
171,01.10.19,DE*EDR*E02100064*1,-10.07332412,2.991310834,6584.640373,-212.1510707,-159466.2761,51.655934,11.822297,6420,06420 KÃ¶nnern,,642,49.906861,8.648861,295.9325384
172,01.11.21,DE*EDR*E21000204*1,25.73410495,-8.318110467,5424.717768,693.3470522,660907.7433,50.950038,11.19506,99198,MÃ¶nchenholzhausen,,991,51.113131,10.933049,25.77960823
174,01.01.20,DE*EDR*E02100064*1,-5.373980686,19.13569004,21269.71206,-74.4687013,10001.29207,51.655934,11.822297,6420,06420 KÃ¶nnern,,642,49.906861,8.648861,295.9325384
176,01.09.19,DE*EDR*E02100018*1,-19.57538842,-11.23610183,-4339.279921,-641.030305,-380634.9795,51.060482,13.572325,1723,01723 Wilsdruff,,172,53.21039,14.004432,240.8698694
177,01.11.20,DE*EDR*E21000187*1,-33.26908252,-7.583054938,3862.262105,-898.9486064,-521612.2855,50.806865,7.21944,53721,Siegburg,,537,50.798281,7.20399,1.445649097
181,01.12.20,DE*UFC*E32000114*2,-64.14278917,-7.544583051,1689.490167,-2028.642863,-1660008.715,52.232271,7.88075,49545,Tecklenburger Land,,495,52.55593418,7.94300521,36.23676252
182,01.06.19,DE*EDR*E91100088*1,-13.46169825,-5.218687411,6974.989262,-421.301522,-289422.0611,49.839264,12.172418,92670,Windischeschenbach,,926,49.66344,12.14901,19.62293227
184,01.04.21,DE*EDR*E92100037*1,-14.73683189,3.902325905,6999.419609,-377.5831172,-185864.9167,49.271799,11.601929,92355,92355 Velburg,,923,49.312984,11.475445,10.25242222
186,01.12.21,DE*UFC*E210027*1,11.73446547,-12.93505208,-6311.721208,-732.1802125,-237245.8247,52.207556,13.607545,15749,Mittenwalde,,157,52.31249,13.650771,12.03330225
187,01.07.20,DE*EDR*E22100036*1,-6.318858051,-10.00805286,5801.987275,-207.7706532,-28445.43243,54.363349,9.671023,24791,Alt-Duvenstedt,,247,54.32017008,9.626915146,5.58809427
189,01.09.20,DE*EDR*E22100035*1,9.196136379,1.921415926,5042.608303,337.4051386,272452.9108,54.366156,9.670627,24791,24791 Alt-Duvenstedt,,247,54.32017008,9.626915146,5.84591625
191,01.10.20,DE*EDR*E62100006*1,22.13877507,-3.665267238,4779.607674,626.9966974,461296.5033,50.300134,8.234582,65520,65520 Bad Camberg,,655,50.300794,8.234861,0.076017035
197,01.12.19,DE*EDR*E99000502*1,-12.73395133,-1.701535071,230.2574352,-392.8792765,-254734.72,50.356513,8.692383,61239,61239 Ober-MÃ¶rlen,,612,50.341922,8.530458,11.60325077
199,01.11.21,DE*UFC*E32000114*2,-62.58544713,-24.92856285,-5932.395665,-2002.892856,-1638282.753,52.232271,7.88075,49545,Tecklenburger Land,,495,52.55593418,7.94300521,36.23676252
201,01.11.20,DE*UFC*E320115*1,-55.84989857,-0.20440336,-6546.378334,-1524.517777,-1605911.916,51.864878,8.369658,33334,GÃ¼tersloh,,333,51.883901,8.354353,2.361839737
203,01.04.21,DE*EDR*E11000301*2,-0.589138314,-4.066491418,3339.512916,-130.86207,21837.96726,51.930074,8.532181,33689,Bielefeld,,336,52.028614,8.556061,11.07854171
204,01.05.22,DE*EDR*E21000205*1,-19.19871724,-3.509394593,2728.766392,-699.4591921,-420794.0631,49.781131,10.244879,97355,Kleinlangheim,,973,49.778082,10.070273,12.54161348
205,01.11.19,DE*EDR*E99000502*1,-4.176609295,-8.648014871,2080.578334,-134.1292698,-61171.7578,50.356513,8.692383,61239,61239 Ober-MÃ¶rlen,,612,50.341922,8.530458,11.60325077
207,01.08.21,DE*EDR*E02100042*1,-5.708360159,3.879135896,10140.2565,-129.8940627,40769.25537,51.608992,12.187898,6794,Sandersdorf-Brehna,,679,51.555342,12.19287,5.975491491
208,01.12.20,DE*EDR*E21000168*1,-15.31053243,10.02638661,8915.764775,-293.2371717,-232488.2576,50.263514,9.881064,97795,Schondra,,977,49.85294,9.61032,49.57644172
209,01.02.18,DE*EDR*E22100029*1,4.301083099,-2.631911819,-1345.002287,53.89725515,4180.581383,53.521783,10.802986,23899,23899 Gudow,,238,50.865765,10.252332,297.7086488
219,01.12.20,DE*EDR*E21000137*1,47.60020233,-8.25820086,1435.018111,802.6261282,605986.7669,47.926902,11.402966,82335,Berg,,823,47.76578557,11.35917449,18.21094518
220,01.10.18,DE*EDR*E11000146*2,-20.45752598,-2.997742443,4892.758168,-593.3532208,-419212.7309,51.38224573,9.24671866,34289,Zierenberg,,342,51.2288935,9.4296715,21.27247406
224,01.10.20,DE*UFC*E110007*1,-37.62998837,0.309255387,-10924.14839,-1049.980915,-1255584.78,54.013926,9.933428,24623,GroÃŸenaspe,,246,54.04306,10.213704,18.59036948
225,01.11.20,DE*UFC*E110119*1,329.6436811,-27.5974036,-2044.865402,9232.960703,6798484.198,51.424935,6.992892,45131,Essen,,451,51.452388,7.013563,3.372156314
227,01.08.21,DE*EDR*E11000317*2,42.62886492,-16.14792198,5041.649935,1042.568947,827817.6436,53.298955,9.535043,27419,Tiste,,274,53.850924,8.715758,81.80999674
229,01.01.19,DE*EDR*E92100039*1,-16.41286913,-6.569844277,-2400.990653,-646.2946055,-363032.9969,49.308275,10.968714,91126,91126 Kammerstein,,911,49.323136,11.042675,5.610095326
232,01.03.22,DE*EDR*E12100066*1,28.46663449,-7.53561091,4660.902811,700.2904137,573392.4629,53.115207,12.469085,16909,16909 Heiligengrabe,,169,53.067119,12.532982,6.840916657
233,01.02.21,DE*EDR*E02100031*1,-11.95956508,-18.51957189,-9595.613766,-382.1200739,-256411.1771,51.090952,13.236838,4741,04720 DÃ¶beln,,474,51.445778,6.635028,460.8325065
237,01.09.19,DE*EDR*E31100014*1,-12.95959028,-14.19386855,-2085.764465,-594.2324552,-389655.4342,51.38117688,9.23966895,34289,Zierenberg,,342,51.2288935,9.4296715,21.47529874
238,01.11.21,DE*EDR*E22100019*1,-12.12806031,-23.79308668,-4529.251941,-449.2597088,-206792.7788,54.803352,9.328803,24983,Handewitt,,249,52.382725,9.333851,269.1616477
243,01.07.18,DE*EDR*E02100043*1,44.42049377,-15.48394823,1532.258149,1114.212018,609792.8091,51.607277,12.183264,6794,06794 Sandersdorf-Brehna,,679,51.555342,12.19287,5.812927442
244,01.04.21,DE*EDR*E21000133*1,-33.90354558,24.12203876,8147.807035,-944.0443675,-555181.726,48.589101,13.365639,94036,Passau,,940,48.559526,13.4225,5.321224081
245,01.12.21,DE*EDR*E02100005*1,38.05394948,-4.216935021,3905.533266,1017.972955,649952.5006,50.893563,12.9408,9244,09244 Lichtenau,,924,49.3225632,12.121547,184.1951043
247,01.12.21,DE*EDR*E62100050*1,7.26604867,-2.027622027,5093.439709,172.1207235,223786.28,50.094757,8.352353,65207,65207 Wiesbaden,,652,50.048154,8.217435,10.93474753
250,01.03.18,DE*EDR*E02100064*1,19.06795429,-8.353577774,-2205.80866,256.2022677,73745.15259,51.655934,11.822297,6420,06420 KÃ¶nnern,,642,49.906861,8.648861,295.9325384
251,01.06.21,DE*EDR*E21000180*1,-9.928322041,5.003410207,9169.521674,-302.1568443,40186.30042,50.947866,11.196966,99198,MÃ¶nchenholzhausen,,991,51.113131,10.933049,26.04465825
254,01.09.21,DE*EDR*E91100088*1,-17.9859512,-12.55898699,338.1436653,-658.5508927,-426635.0605,49.839264,12.172418,92670,Windischeschenbach,,926,49.66344,12.14901,19.62293227
256,01.07.21,DE*EDR*E02100005*1,34.42049377,-17.11579407,282.839285,747.2120177,387311.8091,50.893563,12.9408,9244,09244 Lichtenau,,924,49.3225632,12.121547,184.1951043
260,01.06.21,DE*EDR*E22100030*1,-0.790487293,-0.03559316,3946.588919,-5.763605268,44465.77838,53.520118,10.805807,23899,23899 Gudow,,238,50.865765,10.252332,297.5493706
261,01.10.21,DE*UFC*E110014*1,-13.98693612,11.52171765,3452.225658,249.9166142,-162921.073,48.4442,10.876023,86368,Gersthofen,,863,48.406458,10.95206,7.006559099
263,01.07.21,DE*UFC*E110005*1,94.90871143,-89.35651964,7428.048556,2444.796914,2713355.54,54.092765,9.929906,24537,NeumÃ¼nster,,245,54.180057,9.94417,9.750804228
264,01.12.21,DE*EDR*E21000169*1,110.6894676,4.315658138,6921.024378,3798.762828,2387338.742,49.750848,9.963149,97084,WÃ¼rzburg,,970,49.791594,9.953112,4.587726461
266,01.04.22,DE*UFC*E110016*1,75.50481758,-3.074878178,-10985.4942,1021.634191,1138785.518,54.803453,9.328729,24983,Handewitt,,249,52.382725,9.333851,269.1728844
267,01.07.21,DE*EDR*E21000188*1,33.96674663,-16.68045373,2657.393192,578.8651905,498295.0753,48.058901,10.845777,86899,Landsberg am Lech,,868,48.1970802,10.75851417,16.67404536
268,01.12.21,DE*EDR*E21000176*1,20.17676291,-4.585229567,2179.386174,346.5970455,380983.7811,48.960859,12.093162,93080,Pentling,,930,49.004306,12.064259,5.271452852
269,01.12.21,DE*UFC*E110028*1,-35.20491361,2.172658963,1111.797036,-996.5656878,-948161.7388,49.410226,8.341656,67105,Dannstadt-Schauernheim,,671,49.385831,8.391853,4.533602501
270,01.11.19,DE*EDR*E22100053*1,-13.12806031,-12.29308668,1474.081392,-439.2597088,-204122.7788,54.068219,10.756875,23730,23730 Sierksdorf,,237,54.09928,10.82748,5.75658669
271,01.09.21,DE*EDR*E72100096*1,105.9571452,3.088046941,1958.7741,2856.633927,1829739.024,48.80881,8.18106,76532,76532 Baden Baden,,765,48.818245,8.302521,8.955423109
