evse_sequential_id,evse_charge_month,evse_id,evse_mean_sessions,evse_mean_duration,evse_mean_energy_wh,evse_sum_duration,evse_sum_energy_wh,charger_latest_known_status,charger_vendor,charger_model,charger_max_power,charger_max_current,connector_plug_type,connector_plug_power,connector_current_type,charger_first_connection_date,charger_last_connection_date,charger_authentication_modes,location_name,location_latitude,location_longitude,location_postal_code,location_city,location_charge_point_operator_name
21,2021-07-01,DE*EDR*E02100005*2,0.803945475261983,-10.7461684588073,-7192.41114767165,24.9800835310923,-122247.87782335,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-02-05T08:35:23Z,2022-05-12T16:31:36Z,"['R', 'DP']",Auerswalder Blick Nord DC,50.893563,12.9408,09244,09244 Lichtenau,Tank & Rast
23,2020-04-01,DE*EDR*E62100006*2,-32.6132691754952,-13.8254212517451,-4669.65246236802,-947.259493772882,-415953.667095302,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-01-29T10:59:46Z,2022-03-29T11:38:41Z,"['NRC', 'NRD', 'R', 'DP']",Bad Camberg West DC,50.300134,8.234582,65520,65520 Bad Camberg,Tank & Rast
24,2021-08-01,DE*EDR*E92100039*1,54.2527513958149,2.54678998415127,7435.68784086581,2049.2800331445,1338514.96637362,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-02T11:42:57Z,2022-05-12T16:37:03Z,"['NRC', 'NRD', 'R', 'DP']",Kammersteiner Land Nord DC,49.308275,10.968714,91126,91126 Kammerstein,Tank & Rast
25,2021-04-01,DE*EDR*E62100025*1,45.0032791208999,-3.20090155557263,3333.74811784016,1003.9724404453,692956.019850801,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-01-29T13:15:49Z,2022-05-12T16:41:37Z,"['R', 'DP']",Gräfenhausen West DC,49.946431,8.608135,64331,64331 Weiterstadt,Tank & Rast
26,2018-06-01,DE*EDR*E02100057*1,19.9488645297562,-7.03469113840183,-680.934324830054,395.219065661825,178184.019931236,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-05T08:35:23Z,2022-05-12T08:10:49Z,"['R', 'DP']",Oberlausitz Nord DC,51.200127,14.329909,02625,02625 Bautzen,Tank & Rast
27,2018-05-01,DE*EDR*E02100085*2,4.54921637188492,21.1418982739774,116.819763791022,400.519000775594,105939.008191925,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-02-05T08:35:23Z,2022-05-12T16:40:58Z,"['R', 'DP']",Vogtland Nord DC,50.466056,12.184668,08527,08527 Plauen,Tank & Rast
28,2022-02-01,DE*EDR*E21000162*2,-13.4564874114163,4.97766440296548,-3454.86341948439,-191.023576706369,-228838.612319687,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2020-11-04T12:00:47Z,2022-05-12T16:36:11Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Urbacher Wald Ost DC,50.548416,7.585134,56307,Dernbach,Tank & Rast
29,2021-05-01,DE*EDR*E02100017*1,-0.834235331719849,1.68633139006331,2908.23766001652,14.7509349937751,-20892.3048619764,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-05T08:35:23Z,2022-05-12T16:36:29Z,"['R', 'DP']",Dresdner Tor Nord DC,51.063068,13.570808,01723,01723 Wilsdruff,Tank & Rast
30,2022-05-01,DE*UFC*E210013*1,-47.9602629134496,-10.5969600248789,-4922.42834044821,-1531.55512047209,-1174338.06657369,in-service,EFACEC,Efacec_160kw,160,232,CCS,160,DC,2020-10-26T15:09:00Z,2022-05-04T11:41:28Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Frechen Nord E.ON UFC,50.929288,6.775,50226,Frechen,UFC Germany (DE*UFC)
31,2021-06-01,DE*UFC*E210011*1,-18.2584230530074,5.20081576949208,-1690.20850229604,-590.60413369594,-574447.483904226,in-service,EFACEC,Efacec_160kw,161,234,CCS,160,DC,2020-10-23T10:36:20Z,2022-05-12T16:28:49Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Freienhufener Eck West E.ON UFC,51.56778,13.927832,01994,Schipkau,UFC Germany (DE*UFC)
32,2021-12-01,DE*EDR*E12100010*1,45.9417530537264,-10.4626157710457,3644.52131273842,1032.64298684645,799495.679105851,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-05T08:35:23Z,2022-05-12T16:29:28Z,"['R', 'DP']",Buckautal Süd DC,52.250741,12.309279,14793,14793 Ziesar,Tank & Rast
33,2021-11-01,DE*EDR*E21000196*2,-14.6999822931667,-21.9173972807352,-9685.80688963833,-577.378011974619,-226837.19064116,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2020-11-12T15:28:34Z,2022-05-12T16:33:24Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Bayerischer Wald Nord,48.932942,12.705867,94336,Hunderdorf,Tank & Rast
35,2022-03-01,DE*EDR*E11000306*2,-5.27336593718757,-7.13220941887787,3715.51142300326,-295.204582191747,-89946.8253231691,in-service,ABB,MD_TERRA_53,50,73,CCS,50,DC,2020-10-22T07:42:57Z,2022-04-14T15:27:27Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Hildesheimer Börde Ost AC,52.128412,10.05008,"",Schellerten,Tank & Rast
36,2021-08-01,DE*EDR*E21000134*1,80.5969143279949,7.94129096615387,8629.75767224288,3071.23689740976,2074444.28888365,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2020-11-26T13:22:51Z,2022-05-12T16:40:09Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Fränkische Schweiz-Pegnitz West DC,49.748466,11.509936,91257,Pegnitz,Tank & Rast
37,2022-01-01,DE*EDR*E12100010*2,3.8972745911789,-17.6072809684694,-6300.86897763573,-308.030604128411,-113355.216407574,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-02-05T08:35:23Z,2022-05-12T16:29:28Z,"['R', 'DP']",Buckautal Süd DC,52.250741,12.309279,14793,14793 Ziesar,Tank & Rast
38,2022-02-01,DE*UFC*E320104*1,5.1833018090678,9.36570260601806,6378.44196470547,424.48693034547,236796.238867054,in-service,alpitronic GmbH,HYC_300,150,218,CCS,3000,DC,2020-10-28T10:48:59Z,2022-03-08T20:53:22Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Harburger Berge West E.ON UFC-Chademo,53.424056,9.963125,21077,Hamburg,UFC Germany (DE*UFC)
39,2021-01-01,DE*EDR*E22100029*1,7.88666749172273,1.99113722465653,4677.11625854118,194.548627766843,172663.050516586,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-05T08:35:23Z,2022-05-12T16:36:49Z,"['R', 'DP']",Gudow Nord DC,53.521783,10.802986,23899,23899 Gudow,Tank & Rast
40,2022-03-01,DE*EDR*E02100058*2,-2.54859400235353,25.484821190041,-6249.74765106595,119.970333500221,-84580.5343560603,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-02-05T08:35:23Z,2022-05-12T16:41:12Z,"['R', 'DP']",Oberlausitz Süd DC,51.198028,14.330231,02625,02625 Bautzen,Tank & Rast
41,2019-12-01,DE*EDR*E72100096*2,-20.0300651696219,36.5428311208905,-1473.18684426565,-165.594746706408,-387063.182668207,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2019-03-19T15:31:15Z,2022-05-12T16:30:03Z,"['R', 'DP']",Baden-Baden DC,48.80881,8.18106,76532,76532 Baden Baden,Tank & Rast
42,2022-04-01,DE*EDR*E62100007*2,11.3867308245046,-4.59137869855359,-3826.80139853825,146.740506227117,-154579.667095306,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-01-29T11:48:01Z,2022-05-12T16:30:06Z,"['NRC', 'NRD', 'R', 'DP']",Bergstraße Ost DC,49.690307,8.603811,64625,64625 Bensheim,Tank & Rast
43,2021-09-01,DE*EDR*E62100007*1,22.6367107709264,0.62089476404481,7682.93511716965,741.117463013993,658526.79993635,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-01-29T11:48:00Z,2022-05-12T16:30:06Z,"['NRC', 'NRD', 'R', 'DP']",Bergstraße Ost DC,49.690307,8.603811,64625,64625 Bensheim,Tank & Rast
44,2021-05-01,DE*EDR*E72100096*2,-3.91824998185832,32.3035205014621,-7498.58980319753,618.183232833597,-329130.98817024,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2019-03-19T15:31:15Z,2022-05-12T16:30:03Z,"['R', 'DP']",Baden-Baden DC,48.80881,8.18106,76532,76532 Baden Baden,Tank & Rast
45,2022-03-01,DE*EDR*E21000156*1,30.4435833991572,5.92316517794351,6048.54624075082,915.547698225611,520954.330904312,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2020-12-08T09:34:47Z,2022-05-12T16:29:27Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Hardtwald West DC,49.350108,8.630616,69207,Sandhausen,Tank & Rast
46,2019-07-01,DE*EDR*E11000146*2,-13.9637080916214,-15.249145295535,5645.28444118393,-459.990132401022,-262174.645634879,in-service,ABB,MD_TERRA_53,50,73,CCS,50,DC,2018-03-01T07:32:37Z,2022-05-12T16:36:34Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Bühleck Nord AC,51.38224573,9.24671866,34289,Zierenberg,Tank & Rast
47,2021-12-01,DE*EDR*E12100075*1,-26.0582469462736,24.6440508956209,17528.3879794051,-870.35701315355,-425774.32089415,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-05T08:35:23Z,2022-05-12T16:40:37Z,"['R', 'DP']",Schaalsee Süd DC,53.510538,10.852775,19246,19246 Valluhn,Tank & Rast
48,2022-05-01,DE*EDR*E21000199*2,-2.30160928550384,4.98997529482421,-4707.01957085622,-102.538471629487,-32127.0850762658,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2020-10-05T16:56:55Z,2022-05-12T16:39:38Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Garbsen Nord AC,52.422326,9.554407,30823,Garbsen,Tank & Rast
49,2018-03-01,DE*EDR*E92100078*1,-20.970934150934,-10.6643752492705,-9867.10786711832,-769.623636449627,-474479.136407737,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-05T08:35:23Z,2022-05-12T16:32:07Z,"['R', 'DP']",Thüringer Wald Nord DC,50.726515,10.842037,99331,98716 Geraberg,Tank & Rast
50,2021-06-01,DE*EDR*E62100024*2,-1.96646119710183,1.70819697815951,-4059.43937445075,29.7167848879185,-130280.019450107,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-02-05T08:35:23Z,2022-05-12T16:30:45Z,"['R', 'DP']",Gräfenhausen Ost DC,49.946873,8.611233,64331,64331 Weiterstadt,Tank & Rast
51,2018-09-01,DE*EDR*E92100037*2,-3.71994853998171,-7.73886355651877,-2160.97378929244,-292.670028816483,-142299.823572283,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-01-31T15:56:31Z,2022-05-12T16:34:11Z,"['R', 'DP']",Jura Ost DC,49.271799,11.601929,92355,92355 Velburg,Tank & Rast
52,2021-09-01,DE*EDR*E11000317*2,30.7618366629081,-13.3418242779281,5542.60451665393,867.432704578776,630530.408737909,in-service,ABB,MD_TERRA_53,50,73,CCS,50,DC,2020-10-22T07:42:58Z,2022-05-12T16:40:12Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Ostetal Süd,53.298955,9.535043,27419,Tiste,Tank & Rast
53,2021-03-01,DE*EDR*E02100018*1,-0.932045705958338,-9.84772982085735,905.039292778609,-222.797732281602,-91664.84740996,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-05T08:35:23Z,2022-05-12T16:37:48Z,"['R', 'DP']",Dresdner Tor Süd DC,51.060482,13.572325,01723,01723 Wilsdruff,Tank & Rast
54,2022-01-01,DE*EDR*E21000162*1,0.745645277577985,-5.29602990836612,3987.2983721218,-1.14026986719125,12702.5437598187,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2020-11-04T12:00:47Z,2022-05-12T16:36:11Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Urbacher Wald Ost DC,50.548416,7.585134,56307,Dernbach,Tank & Rast
55,2021-09-01,DE*EDR*E21000128*2,-5.95191944367606,16.9125719551954,-7827.36380584009,-192.055630701179,3340.28562560559,in-service,EFACEC,Efapower-EV QC,0,0,Mennekes,22,AC,2020-09-18T11:04:37Z,2022-05-12T16:35:07Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Gütersloh Süd DC,51.864909,8.369809,33334,Gütersloh,Tank & Rast
56,2018-04-01,DE*EDR*E12100067*2,-16.4266881718227,10.0808136401195,5168.03848867412,-408.319115824474,-183386.136194268,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-01-30T12:05:33Z,2022-05-12T16:37:55Z,"['R', 'DP']",Prignitz West DC,53.115301,12.466908,16909,16909 Heiligengrabe,Tank & Rast
57,2021-11-01,DE*EDR*E21000155*1,19.7309174792379,-15.8739640292153,2097.44392363101,394.051393582053,231707.714479775,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2020-11-25T12:54:56Z,2022-05-12T16:43:34Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Siegburg Ost AC,50.809423,7.220042,53721,Siegburg,Tank & Rast
58,2022-01-01,DE*EDR*E22100054*2,0.270119195327513,-0.993772081905558,-5985.05163768433,-71.6833064513346,37969.3635704851,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-02-01T10:40:17Z,2022-05-12T16:35:29Z,"['R', 'DP']",Neustädter Bucht West DC,54.070886,10.755442,23730,23730 Sierksdorf,Tank & Rast
59,2021-08-01,DE*UFC*E320116*3,3.17790896696765,-12.1283872260776,992.219871550775,-63.5382926546929,32609.0857548614,in-service,alpitronic GmbH,HYC_300,22,32,Mennekes,22,AC,2020-11-13T14:29:09Z,2022-05-12T16:40:10Z,"['NRC', 'NRD', 'R', 'DP']",Rasthof Avus E.ON UFC - CCS,52.501791,13.277195,14055,Berlin,UFC Germany (DE*UFC)
60,2022-01-01,DE*EDR*E11000316*1,10.3466960990571,8.08844452436073,1233.78733436281,516.762374088773,197531.993337048,in-service,ABB,MD_TERRA_53,43,63,Mennekes,43,AC,2020-10-22T07:42:58Z,2022-05-12T16:35:12Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Ostetal Nord,53.29976,9.53202,27419,Tiste,Tank & Rast
61,2022-01-01,DE*UFC*E110119*1,20.6584088760576,-17.1732581963007,5362.44945652852,604.769039250289,775033.027365184,in-service,ABB,MD_HVC_CAR,175,254,CHAdeMO,175,DC,2019-12-02T10:46:47Z,2022-05-12T16:36:29Z,"['NRC', 'NRD', 'R', 'DP']","Essen, Brüsseler Platz 1, Vorplatz, ABB UFC",51.424935,6.992892,45131,Essen,UFC Germany (DE*UFC)
62,2019-10-01,DE*EDR*E31100047*1,-4.45752598414165,-13.8732979986629,-849.286276358509,-312.353220840428,-253172.730904038,in-service,ABB,MD_TERRA_53,50,73,CCS,50,DC,2018-03-01T07:23:56Z,2022-05-12T16:32:30Z,"['NRC', 'NRD', 'R', 'DP']",Limes West AC,50.52085,8.7554999,35415,35415 Pohlheim,Tank & Rast
63,2022-03-01,DE*UFC*E320117*3,-0.388996990921164,-28.4382446396936,-854.993050130339,-141.290091032434,14599.0969588691,in-service,alpitronic GmbH,HYC_300,22,32,Mennekes,22,AC,2021-02-17T12:54:07Z,2022-05-12T16:43:20Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Bottrop Süd-AC,51.539812,6.887373,46242,Bottrop,UFC Germany (DE*UFC)
64,2021-12-01,DE*EDR*E21000201*1,73.4762995318509,0.052752947491026,4543.51204647085,2042.44027873283,1434071.82856748,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2020-10-22T10:12:16Z,2022-05-12T16:37:27Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Grundbergsee Nord DC,53.090906,9.17629,27367,Sottrum,Tank & Rast
65,2021-11-01,DE*EDR*E02100042*2,26.1354319491511,-0.387037948922476,-4882.38442384262,872.897880909763,299286.917673254,out-of-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-02-01T10:11:14Z,2022-05-12T16:40:42Z,"['R', 'DP']",Köckern Ost DC,51.608992,12.187898,06794,Sandersdorf-Brehna,Tank & Rast
66,2018-05-01,DE*EDR*E22100030*2,-2.19013545075664,8.85210736319709,-1188.04032571685,-8.46367015464469,78355.7666357765,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-02-05T07:54:44Z,2022-05-12T16:29:39Z,"['R', 'DP']",Gudow Süd DC,53.520118,10.805807,23899,23899 Gudow,Tank & Rast
67,2019-07-01,DE*EDR*E02100073*1,-16.5795062283428,-8.43352805980826,962.073275164495,-497.787982250731,-309288.190877249,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-05T08:35:23Z,2022-05-12T16:28:55Z,"['R', 'DP']",Rohnetal Süd DC,51.432622,11.423106,06542,06542 Wolferstedt,Tank & Rast
68,2021-02-01,DE*EDR*E11000308*2,-11.9218766194809,-11.8345562658286,3911.48915744229,-440.500297551834,-263463.836291888,in-service,ABB,MD_TERRA_53,50,73,CCS,50,DC,2020-10-22T07:42:58Z,2022-05-12T16:41:06Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Mellrichstätter West,50.423684,10.349945,97638,Mellrichstadt,Tank & Rast
70,2018-05-01,DE*EDR*E62100006*1,63.3778638573864,-5.20519506620787,-846.035354169799,1277.89870303886,599160.47454688,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-01-29T10:59:44Z,2022-03-29T11:38:41Z,"['NRC', 'NRD', 'R', 'DP']",Bad Camberg West DC,50.300134,8.234582,65520,65520 Bad Camberg,Tank & Rast
71,2020-12-01,DE*EDR*E62100050*1,52.2660486696228,-3.94329331242357,2154.25194068758,1288.12072349885,748496.280048913,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-01-29T12:38:01Z,2022-05-12T16:42:13Z,"['R', 'DP']",Medenbach West DC,50.094757,8.352353,65207,65207 Wiesbaden,Tank & Rast
72,2020-10-01,DE*EDR*E21000210*1,-34.5249727376693,-10.2815535355408,-1256.1458940067,-1610.41364594621,-489643.711989318,in-service,EFACEC,Efacec_160kw,161,234,CCS,160,DC,2020-09-17T09:00:19Z,2022-05-12T16:31:28Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Nievenheim Ost,51.12548,6.7975,41541,Dormagen,Tank & Rast
73,2020-12-01,DE*UFC*E110004*1,-16.8022513942616,0.690460930275467,3469.46965799932,-481.700121965027,-486298.051064821,in-service,ABB,MD_HVC_CAR,175,254,CHAdeMO,175,DC,2020-03-18T13:57:23Z,2022-05-12T16:30:10Z,"['NRC', 'NRD', 'R', 'DP']",Autohof Geiselwind E.ON UFC 4,49.76904,10.470847,96160,Geiselwind,UFC Germany (DE*UFC)
74,2019-10-01,DE*EDR*E22100035*2,-10.9183476203308,-8.97951701483824,-4375.0189643969,-378.947561237746,-108516.072804556,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-01-31T10:23:52Z,2022-05-12T16:34:44Z,"['R', 'DP']",Hüttener Berge Ost DC,54.366156,9.670627,24791,24791 Alt-Duvenstedt,Tank & Rast
